area,featured_name,item_id,latitude,longitude,others,price,price_per_m,rooms,subtitle,title,tracking_id,url,Lat,Lon,Const_Stat,ownership
53 m²,listing_no_promo,43eKx,,,Oferta prywatna,389000.0,7340.0,3 pokoje,Mieszkanie na sprzedaż:,"Oferta BEZPOŚREDNIA 3 pokoje, 53m2 w SUPER punkcie",59877029,https://www.otodom.pl/oferta/oferta-bezposrednia-3-pokoje-53m2-w-super-punkcie-ID43eKx.html#2bd0e70758,52.41511737952322,16.88997985748291,"[""ready_to_use""]","[""full_ownership""]"
"68,40 m²",listing_no_promo,45UgA,,,Choiński Kroll Nieruchomości,515000.0,7529.0,3 pokoje,Mieszkanie na sprzedaż:,3 Pokoje Z Dużym Balkonem Na Podolanach,60513276,https://www.otodom.pl/oferta/3-pokoje-z-duzym-balkonem-na-podolanach-ID45UgA.html#2bd0e70758,52.4440584,16.893462200000002,"[""ready_to_use""]","[""full_ownership""]"
"56,70 m²",listing_no_promo,46Ct3,,,Beata Zajączkowska,462105.0,8150.0,3 pokoje,Mieszkanie na sprzedaż:,"Nowe 3 pokoje plus duży balkon, Winiary",60683185,https://www.otodom.pl/oferta/nowe-3-pokoje-plus-duzy-balkon-winiary-ID46Ct3.html#2bd0e70758,52.43315,16.90875,"[""to_completion""]","[""full_ownership""]"
"51,08 m²",listing_no_promo,45AAr,,,CONSTRUCTA PLUS,,,2 pokoje,Mieszkanie na sprzedaż:,"Winiarska 40, mieszkanie M31",60437627,https://www.otodom.pl/oferta/winiarska-40-mieszkanie-m31-ID45AAr.html#2bd0e70758,52.43036729999999,16.911042499999994,"[""to_completion""]","[""full_ownership""]"
"73,38 m²",listing_no_promo,45ABH,,,CONSTRUCTA PLUS,,,4 pokoje,Mieszkanie na sprzedaż:,"Winiarska 40, mieszkanie M1",60437705,https://www.otodom.pl/oferta/winiarska-40-mieszkanie-m1-ID45ABH.html#2bd0e70758,52.43036729999999,16.911042499999994,"[""to_completion""]","[""full_ownership""]"
"58,33 m²",listing_no_promo,44mSF,,,Browwar Nieruchomości,669000.0,11469.0,3 pokoje,Mieszkanie na sprzedaż:,Unikatowy 3-pokojowy apartament! Świetny design!,60146613,https://www.otodom.pl/oferta/unikatowy-3-pokojowy-apartament-swietny-design-ID44mSF.html#2bd0e70758,52.4055,16.93122,"[""ready_to_use""]","[""full_ownership""]"
57 m²,listing_no_promo,46C5A,,,Oferta prywatna,535000.0,9386.0,2 pokoje,Mieszkanie na sprzedaż:,"nowe, centrum, Mickiewicza, pod 2 kawalerki",60681730,https://www.otodom.pl/oferta/nowe-centrum-mickiewicza-pod-2-kawalerki-ID46C5A.html#2bd0e70758,52.41165551822064,16.91134097007753,no data,no data
57 m²,listing_no_promo,46C2L,,,Shark Nieruchomości,468000.0,8211.0,3 pokoje,Mieszkanie na sprzedaż:,"Stylowe, słoneczne 3 pokoje! Bez Pcc!",60681555,https://www.otodom.pl/oferta/stylowe-sloneczne-3-pokoje-bez-pcc-ID46C2L.html#2bd0e70758,52.45718000000001,16.88339,"[""ready_to_use""]",no data
46 m²,listing_no_promo,46C2G,,,Home Emperor sp. z o.o.,500000.0,10870.0,2 pokoje,Mieszkanie na sprzedaż:,Idealne dla konesera kamienic.,60681550,https://www.otodom.pl/oferta/idealne-dla-konesera-kamienic-ID46C2G.html#2bd0e70758,52.43655,16.84479,no data,"[""full_ownership""]"
46 m²,listing_no_promo,46C2B,,,Home Emperor sp. z o.o.,485000.0,10543.0,1 pokój,Mieszkanie na sprzedaż:,Jeżyce - dwie kawalerki w stylu loftowym.,60681545,https://www.otodom.pl/oferta/jezyce-dwie-kawalerki-w-stylu-loftowym-ID46C2B.html#2bd0e70758,52.43655,16.84479,no data,"[""full_ownership""]"
